Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
481335958,00000105,false,Rx,0,8,B2,82,00,64,00,61,4C,00,
481355872,00000105,false,Rx,0,8,0B,92,00,64,00,61,4C,00,
481376157,00000105,false,Rx,0,8,DD,A2,00,64,00,61,4C,00,
481396111,00000105,false,Rx,0,8,64,B2,00,64,00,61,4C,00,
481416124,00000105,false,Rx,0,8,6C,C2,00,64,00,61,4C,00,
481436253,00000105,false,Rx,0,8,D5,D2,00,64,00,61,4C,00,
481456321,00000105,false,Rx,0,8,03,E2,00,64,00,61,4C,00,
481476392,00000105,false,Rx,0,8,13,02,00,64,00,61,4C,00,
481496350,00000105,false,Rx,0,8,AA,12,00,64,00,61,4C,00,
481516545,00000105,false,Rx,0,8,7C,22,00,64,00,61,4C,00,
481536469,00000105,false,Rx,0,8,C5,32,00,64,00,61,4C,00,
481556611,00000105,false,Rx,0,8,CD,42,00,64,00,61,4C,00,
481576656,00000105,false,Rx,0,8,74,52,00,64,00,61,4C,00,
481596726,00000105,false,Rx,0,8,A2,62,00,64,00,61,4C,00,
481616806,00000105,false,Rx,0,8,1B,72,00,64,00,61,4C,00,
481636754,00000105,false,Rx,0,8,B2,82,00,64,00,61,4C,00,
481656989,00000105,false,Rx,0,8,0B,92,00,64,00,61,4C,00,
481676991,00000105,false,Rx,0,8,DD,A2,00,64,00,61,4C,00,
481697077,00000105,false,Rx,0,8,64,B2,00,64,00,61,4C,00,
481716962,00000105,false,Rx,0,8,6C,C2,00,64,00,61,4C,00,
481737133,00000105,false,Rx,0,8,D5,D2,00,64,00,61,4C,00,
481757099,00000105,false,Rx,0,8,03,E2,00,64,00,61,4C,00,
481777453,00000105,false,Rx,0,8,13,02,00,64,00,61,4C,00,
481797298,00000105,false,Rx,0,8,AA,12,00,64,00,61,4C,00,
481817344,00000105,false,Rx,0,8,7C,22,00,64,00,61,4C,00,
481837407,00000105,false,Rx,0,8,C5,32,00,64,00,61,4C,00,
481857430,00000105,false,Rx,0,8,CD,42,00,64,00,61,4C,00,
481877503,00000105,false,Rx,0,8,74,52,00,64,00,61,4C,00,
481897614,00000105,false,Rx,0,8,A2,62,00,64,00,61,4C,00,
481917662,00000105,false,Rx,0,8,1B,72,00,64,00,61,4C,00,
481937923,00000105,false,Rx,0,8,B2,82,00,64,00,61,4C,00,
481957748,00000105,false,Rx,0,8,0B,92,00,64,00,61,4C,00,
481977834,00000105,false,Rx,0,8,DD,A2,00,64,00,61,4C,00,
481997830,00000105,false,Rx,0,8,64,B2,00,64,00,61,4C,00,
482017952,00000105,false,Rx,0,8,6C,C2,00,64,00,61,4C,00,
482038093,00000105,false,Rx,0,8,D5,D2,00,64,00,61,4C,00,
482058070,00000105,false,Rx,0,8,03,E2,00,64,00,61,4C,00,
482078224,00000105,false,Rx,0,8,13,02,00,64,00,61,4C,00,
482098156,00000105,false,Rx,0,8,AA,12,00,64,00,61,4C,00,
482118375,00000105,false,Rx,0,8,7C,22,00,64,00,61,4C,00,
482138517,00000105,false,Rx,0,8,C5,32,00,64,00,61,4C,00,
482158664,00000105,false,Rx,0,8,CD,42,00,64,00,61,4C,00,
482178594,00000105,false,Rx,0,8,74,52,00,64,00,61,4C,00,
482198625,00000105,false,Rx,0,8,A2,62,00,64,00,61,4C,00,
482218549,00000105,false,Rx,0,8,1B,72,00,64,00,61,4C,00,
482238587,00000105,false,Rx,0,8,B2,82,00,64,00,61,4C,00,
482258580,00000105,false,Rx,0,8,0B,92,00,64,00,61,4C,00,
482278712,00000105,false,Rx,0,8,DD,A2,00,64,00,61,4C,00,
482298724,00000105,false,Rx,0,8,64,B2,00,64,00,61,4C,00,
